,Tot,C,P,G,N,"T
","Incident[nb 1]
","Aircraft
","Location
","Phase
","Airport
","Distance
","Date
"
134,22,23,17,0,3,0,12,24,397,0,83,52,180
135,21,22,17,0,3,0,252,119,172,3,0,0,489
136,21,5,10,0,0,0,368,64,137,0,29,102,106
137,20,2,13,0,3,0,52,236,327,3,0,0,148
138,19,4,9,0,3,0,283,321,210,0,103,112,471
139,19,24,14,0,3,0,452,96,133,0,42,23,299
140,18,24,8,17,3,0,409,290,219,11,117,0,468
141,18,25,11,0,3,0,170,232,409,5,115,74,183
142,18,23,14,0,3,0,473,207,84,3,0,0,91
143,17,22,14,0,3,0,162,114,269,3,0,0,492
144,17,3,7,0,3,0,441,97,374,0,169,78,483
145,17,3,8,0,3,0,98,62,154,3,0,0,114
146,16,22,13,0,3,0,79,289,244,3,0,0,529
147,16,24,10,0,3,0,153,333,297,0,151,57,397
148,15,3,6,0,3,3,308,59,76,3,0,0,342
149,15,23,10,0,3,0,118,275,223,0,163,78,179
150,14,22,10,0,3,0,304,129,78,3,0,0,501
151,13,24,7,0,3,0,137,16,300,0,7,84,495
152,13,25,2,17,3,0,96,41,150,5,32,60,460
153,13,6,153,0,3,0,468,9,262,3,0,0,379
154,13,22,9,0,0,0,215,79,451,0,100,12,225
155,13,2,5,0,3,0,87,52,14,0,167,53,78
156,12,22,8,0,1,0,199,98,123,5,76,28,544
157,12,25,5,0,3,0,187,288,88,0,53,48,474
158,12,1,14,0,0,0,512,272,434,6,193,0,354
159,12,21,9,0,3,3,251,116,404,0,14,87,302
160,12,24,6,0,3,0,194,231,101,0,107,82,291
161,12,22,8,0,3,0,438,301,404,3,0,0,178
162,12,23,7,0,3,0,202,337,363,3,0,0,159
163,11,3,2,0,3,0,64,240,333,3,0,0,233
164,11,23,6,0,3,0,112,68,413,0,101,63,170
165,11,19,0,3,3,0,235,168,479,0,45,100,122
166,11,2,3,0,3,0,173,198,78,5,52,45,75
167,10,21,7,0,3,0,523,284,423,3,0,0,424
168,10,23,5,0,1,0,32,308,338,3,0,0,310
169,10,22,6,0,3,0,229,102,97,3,0,0,283
170,9,23,4,0,3,0,8,241,329,0,112,45,215
171,9,24,3,0,3,0,9,241,57,5,7,72,186
172,9,25,2,0,3,0,81,278,82,6,225,32,160
173,8,23,3,0,0,0,423,284,270,6,160,0,494
174,8,24,2,0,0,1,474,318,17,0,192,0,395
175,8,24,2,0,0,0,186,333,93,5,144,11,379
176,8,2,152,0,3,0,191,239,87,0,34,107,343
177,8,21,5,0,0,0,119,284,220,0,163,68,261
178,8,24,2,0,3,0,35,309,336,5,195,28,206
179,8,19,6,0,0,0,278,323,378,0,25,36,198
180,8,24,2,0,0,2,323,78,140,3,0,0,194
181,7,22,3,0,3,3,147,74,104,3,0,0,363
182,7,3,150,0,3,0,381,50,197,0,56,83,214
183,7,24,153,0,3,0,23,241,303,5,195,47,130
184,7,3,150,0,3,0,236,264,271,3,0,0,76
185,6,2,139,5,3,5,289,250,212,0,201,115,493
186,6,23,153,0,3,0,398,306,258,3,0,0,209
187,5,24,151,0,3,0,301,105,19,3,0,0,487
188,4,21,153,0,3,0,180,284,287,3,0,0,444
189,4,23,151,0,3,0,419,120,204,3,0,0,442
190,4,22,152,0,3,0,256,302,362,0,85,99,177
191,4,22,12,32,3,0,349,328,388,1,61,102,85
192,3,3,147,0,1,0,76,21,242,0,202,97,516
193,3,23,150,0,3,5,287,248,209,0,0,0,331
194,2,22,150,0,3,0,4,123,202,3,0,0,500
